,date,category,region,units_sold,unit_price,discount,marketing_spend,temperature,is_weekend,is_holiday,revenue,month,quarter,year,day_of_week
0,2022-09-19T00:00:00.000,Food,South,96,129.462949477988,0.19677099392951986,1394.6632742183133,16.02536775141986,0,0,10086.954538255892,9,3,2022,0
1,2022-03-06T00:00:00.000,Home & Garden,North,55,226.74437444460557,0.20060126546936788,1919.3737606640757,28.890974792345688,1,0,10696.371157239673,3,1,2022,6
2,2022-01-22T00:00:00.000,Sports,East,193,302.16670186402405,0.21292112544030609,533.1102333143654,23.13720062638823,1,0,46259.70111864407,1,1,2022,5
3,2022-12-02T00:00:00.000,Clothing,South,189,178.21747490591306,0.09857118981968828,3210.1533606976577,16.28136885642987,0,0,30865.128423773738,12,4,2022,4
4,2022-07-28T00:00:00.000,Electronics,West,81,225.47283838887518,0.08351054449879698,4092.31938744134,16.418887131440137,0,0,17098.230838221018,7,3,2022,3
5,2022-12-10T00:00:00.000,Sports,South,50,332.39524803299673,0.218243123398949,4039.2757108765495,13.529787416651994,1,0,13725.252133214115,12,4,2022,5
6,2022-11-14T00:00:00.000,Electronics,East,41,221.58547660281087,0.23453394777861789,2678.7786447353337,32.7905057593087,0,0,7463.40429699753,11,4,2022,0
7,2022-09-15T00:00:00.000,Sports,East,87,150.09126154788916,0.20171694383961133,1264.4266748201435,6.939556095478555,0,0,10626.698131944186,9,3,2022,3
8,2022-11-10T00:00:00.000,Electronics,North,176,217.85067731552834,0.13400661652339946,1643.6627605751648,33.87972064814967,0,0,33339.66200875608,11,4,2022,3
9,2022-03-05T00:00:00.000,Electronics,North,113,137.30375472143828,0.1902017109298834,2929.9342087213495,32.294588830290024,1,0,13228.711558843854,3,1,2022,5
10,2022-09-06T00:00:00.000,Home & Garden,East,166,376.8493658729855,0.24837748636359372,3970.593833149301,6.358453173413074,0,0,47629.32962718964,9,3,2022,1
11,2022-02-06T00:00:00.000,Food,South,71,404.8737945031603,0.0166960468070926,4290.413158841817,6.807241725607949,1,0,29127.052796964323,2,1,2022,6
12,2022-11-20T00:00:00.000,Food,North,30,201.5495391521695,0.29293695883062304,4795.99860595581,33.004815396322655,1,0,5174.9545130702645,11,4,2022,6
13,2022-04-06T00:00:00.000,Clothing,East,132,393.82527620748704,0.08050193738239723,3640.873059156261,5.055279737726916,0,0,48391.900624949405,4,2,2022,2
14,2022-01-16T00:00:00.000,Food,South,119,210.03638447968638,0.08413896726139572,3789.9634235160297,13.47642059578187,1,0,23476.47075239622,1,1,2022,6
15,2022-10-12T00:00:00.000,Sports,South,172,22.61378077613594,0.10231436184918706,4114.8705808311515,36.40544735124085,0,0,4099.2271373516405,10,4,2022,2
16,2022-05-22T00:00:00.000,Home & Garden,South,74,61.577000746536065,0.05020791994158839,4874.11365423466,12.997036136416977,1,1,5647.558001490714,5,2,2022,6
17,2022-08-02T00:00:00.000,Clothing,West,146,225.8129396214626,0.27035328696520666,3878.010564267447,22.101172405729468,0,0,24551.06632337697,8,3,2022,1
18,2022-11-22T00:00:00.000,Food,North,116,235.37155613404175,0.18209193488227962,1348.249337580025,33.17383918585899,0,1,23012.525088770766,11,4,2022,1
19,2022-06-10T00:00:00.000,Electronics,East,99,105.95821122579231,0.042240884667802826,3300.861387046985,32.346264951155675,0,0,10574.434205844575,6,2,2022,4
20,2022-10-02T00:00:00.000,Clothing,West,94,333.7912795485461,0.22390886529397244,1902.0728281200302,34.59787327970698,1,0,24767.963260957844,10,4,2022,6
21,2022-03-26T00:00:00.000,Electronics,East,94,433.0334882901944,0.1557245355408654,2656.3184493337894,5.897472303225249,1,0,34825.84816926464,3,1,2022,5
22,2022-07-07T00:00:00.000,Clothing,East,162,184.874127833844,0.1061367476209308,4228.500190577366,32.625249691189,0,0,27293.422262521613,7,3,2022,3
23,2022-09-22T00:00:00.000,Food,North,138,170.43626977938953,0.04938615397095145,1315.2733288250904,32.674188566505876,0,0,22687.122125841695,9,3,2022,3
24,2022-04-15T00:00:00.000,Clothing,East,119,495.87832034643424,0.29122498730120105,4740.419253529368,32.434493686868585,0,0,42659.93965611465,4,2,2022,4
25,2022-04-28T00:00:00.000,Clothing,West,157,72.71422218145733,0.264640684284618,2270.515309536162,33.975393136276054,0,0,8823.941500649365,4,2,2022,3
26,2022-02-17T00:00:00.000,Sports,East,60,329.84559284741863,0.07145483431401796,947.4862674170532,13.511026684980893,0,0,18533.615316480424,2,1,2022,3
27,2022-02-12T00:00:00.000,Electronics,North,194,84.56555492213977,0.05299290896114086,1784.126236990346,38.455451514398185,1,0,16107.860865067272,2,1,2022,5
28,2022-09-11T00:00:00.000,Electronics,West,33,232.39562379800867,0.20116215195182727,1932.584099612049,18.343048347120686,1,1,7120.447458451381,9,3,2022,6
29,2022-08-06T00:00:00.000,Electronics,South,166,347.60999264439846,0.17010369762605165,3576.1659134984106,5.099475378239036,1,1,49020.10498843198,8,3,2022,5
30,2022-06-23T00:00:00.000,Food,North,72,384.7123793233768,0.20131658515797432,2458.958996548563,24.22584200180364,0,0,22620.948777503545,6,2,2022,3
31,2022-03-07T00:00:00.000,Food,West,134,197.97000759875468,0.019687843372203882,4196.808263333484,18.01417352335536,0,0,26826.30398131126,3,1,2022,0
32,2022-11-11T00:00:00.000,Food,South,30,202.21085034653808,0.13426555653181857,3785.0077448638767,17.521416715279997,0,0,5905.359985522697,11,4,2022,4
33,2022-09-07T00:00:00.000,Food,East,41,454.9290872566146,0.11889378764946616,1833.4661085491002,10.021430995630702,0,0,16523.516604376484,9,3,2022,2
34,2022-07-06T00:00:00.000,Sports,North,101,335.46749864459446,0.2645071835530524,4163.565585160228,28.979700845606942,0,0,25443.880923757355,7,3,2022,2
35,2022-04-09T00:00:00.000,Home & Garden,North,197,390.59457893112943,0.03661051563731851,3174.308377527986,37.77572108592812,1,0,74878.78080723544,4,2,2022,5
36,2022-12-14T00:00:00.000,Clothing,South,115,362.16264032667004,0.1758706496342285,2715.65171915562,11.731052047452268,0,0,34744.12857531853,12,4,2022,2
37,2022-10-21T00:00:00.000,Food,South,78,356.2360232071667,0.160604330418497,3358.955060187445,11.87704384346739,0,0,23818.340906231217,10,4,2022,4
38,2022-02-02T00:00:00.000,Home & Garden,South,12,467.63615590553195,0.06102390065949451,1161.0237376081973,34.95380174933663,0,0,5406.1657424820605,2,1,2022,2
39,2022-01-30T00:00:00.000,Electronics,South,74,245.3813401145138,0.29558581519965127,2195.3253647207334,31.235240499162522,1,0,13423.921804189265,1,1,2022,6
40,2022-06-14T00:00:00.000,Home & Garden,North,174,14.428849848853167,0.10710880319100365,4667.8733079430185,13.003687286126308,0,0,2872.3242421674795,6,2,2022,1
41,2022-02-14T00:00:00.000,Electronics,West,114,82.84473659902535,0.12438723711810712,884.0735063538973,39.890598814608154,0,0,8334.403996900974,2,1,2022,0
42,2022-06-06T00:00:00.000,Home & Garden,East,62,347.14177747964675,0.07256666506624378,4599.809162453226,34.33928758409967,0,0,20565.01567586398,6,2,2022,0
43,2022-07-24T00:00:00.000,Food,North,17,140.4603927030617,0.14916072106696593,2389.724084067072,11.71426401103537,1,0,2679.9258791428274,7,3,2022,6
44,2022-05-30T00:00:00.000,Home & Garden,South,48,206.63995186765897,0.08775452732122253,1185.4831525904096,14.315880438043811,0,0,9149.855302191894,5,2,2022,0
45,2022-05-21T00:00:00.000,Food,West,169,191.8744874844375,0.18032225004006988,3675.136381897211,29.09417564722479,1,0,27354.00025020744,5,2,2022,5
46,2022-05-29T00:00:00.000,Home & Garden,East,11,284.32913621689386,0.28833548040649204,3323.2844989213086,14.084265164557891,1,0,3027.6921793260303,5,2,2022,6
47,2022-10-30T00:00:00.000,Home & Garden,West,108,157.47349661949463,0.055213431615064056,3904.0298959501033,21.595528105767787,1,0,16807.05694976919,10,4,2022,6
48,2022-08-10T00:00:00.000,Clothing,South,189,369.60273409324526,0.18967144526035828,3126.2226665364487,18.654208214091874,0,0,56889.30396212929,8,3,2022,2
49,2022-02-17T00:00:00.000,Sports,West,15,82.2524195388061,0.18349670269380422,3045.8628794801566,30.01458107337902,0,1,1947.4440949459854,2,1,2022,3
50,2022-10-13T00:00:00.000,Sports,West,180,52.66489073288101,0.06064481976758122,2954.706532226761,12.24699791840615,0,0,9404.564504524396,10,4,2022,3
51,2022-01-01T00:00:00.000,Home & Garden,South,50,421.59912938953204,0.21747382398733184,4526.428941556227,9.11450371923278,1,1,18049.19744576157,1,1,2022,5
52,2022-05-11T00:00:00.000,Sports,East,181,66.31716855918775,0.02815718544700686,4593.320687464666,28.422009202832747,0,0,12433.03250517389,5,2,2022,2
53,2022-10-19T00:00:00.000,Electronics,South,52,65.29316171997449,0.17893018638769798,2681.1028262133837,5.940367891572736,0,0,3197.599194107324,10,4,2022,2
54,2022-01-12T00:00:00.000,Home & Garden,East,122,89.19806990636074,0.2695662565581238,3228.930768468155,5.321896806582037,0,0,8539.569035512994,1,1,2022,2
55,2022-01-16T00:00:00.000,Food,West,183,57.61648194767658,0.18450216800975092,4955.242325469185,9.90294053327834,1,0,9577.524333943316,1,1,2022,6
